ProductId,Image Url,Video Url,Product Desc,Origin Price,Discount Price,Discount,Currency,Direct linking commission rate (%),Estimated direct linking commission,Indirect linking commission rate (%),Estimated indirect linking commission,Sales180Day,Positive Feedback,Promotion Url,Opening,Title,Strengths,Opening,Title,Strengths
1005006529893594,https://ae-pic-a1.aliexpress-media.com/kf/S28c361f81d2c4033b5004b9fd447b170N.jpg,,PACOONE Camping Fishing Folding Chair Tourist Beach Chaise Longue Chair for Relaxing Foldable Leisure Travel Furniture Picnic,ILS 245.93,ILS 120.51,51%,ILS,7,ILS 8.44,7,ILS 8.44,1494,94.8%,https://s.click.aliexpress.com/e/_oDEd0SJ,,,,,,
1005005784812202,https://ae-pic-a1.aliexpress-media.com/kf/S8dce90ee2c6040ceb5707afa32d993a27.png,https://video.aliexpress-media.com/play/u/ae_sg_item/239238391/p/1/e/6/t/10301/1100159012545.mp4,AIRAJ Multifunctional Tool Bags 1680D Oxford Cloth Electrician Bags Waterproof and Wear-Resistant High Capacity Storage Bags,ILS 60.09,ILS 30.04,50%,ILS,7,ILS 2.10,7,ILS 2.10,20996,93.3%,https://s.click.aliexpress.com/e/_okvj38P,,,,,,
1005007805554971,https://ae-pic-a1.aliexpress-media.com/kf/Sd7aaa9c8db874076970d53e2c3e9a2e8l.jpg,,Car Polisher Waxing Machine 8 Position Adjustable Electric Waxing Tool for Makita/Dewalt/Milwaukee 21V Battery,ILS 249.87,ILS 119.94,52%,ILS,7,ILS 8.40,7,ILS 8.40,4485,98.0%,https://s.click.aliexpress.com/e/_oFDYiSJ,,,,,,
1005006875903988,https://ae-pic-a1.aliexpress-media.com/kf/Sf15c9548e5a2494cb70a5b4aa1a26690x.jpg,,Travel Luggage Cover Elastic Baggage Cover Suitable for 18 to 30 inch Suitcase Case Dust Cover Travel Accessories,ILS 29.85,ILS 13.73,54%,ILS,7,ILS 0.96,7,ILS 0.96,2851,95.4%,https://s.click.aliexpress.com/e/_ooJPoTt,,,,,,
1005008867638253,https://ae-pic-a1.aliexpress-media.com/kf/S99bc5b200dd24614becced82d2314456g.jpg,,HOBIBEAR Womens Mens Barefoot Shoes | Zero Drop | Wide Toe Casual Canvas Sneakers Minimalist Walking Shoes,ILS 189.82,ILS 89.22,53%,ILS,7,ILS 6.25,7,ILS 6.25,926,97.2%,https://s.click.aliexpress.com/e/_oFq3Lhv,,,,,,
1005008346300997,https://ae-pic-a1.aliexpress-media.com/kf/S4a806acab40a4502989783279b857932B.jpg,,YOFIDRA 388VF 928VF Rechargeable Lithium Battery 22500mAh 15000mah Li-ion Battery for Electric Chainsaw Drill Wrench Power Tool,ILS 233.43,ILS 95.70,59%,ILS,7,ILS 6.70,7,ILS 6.70,208,98.1%,https://s.click.aliexpress.com/e/_op78kYL,,,,,,
1005008077306895,https://ae-pic-a1.aliexpress-media.com/kf/S1be6a8044b1d466eb59a5b2cb5d9c9e31.jpg,,3 in 1 Laser Rangefinder 5M Tape Measure Ruler LCD Display with Backlight Distance Meter Building Measurement Device,ILS 157.68,ILS 83.79,46%,ILS,7,ILS 5.87,7,ILS 5.87,421,88.2%,https://s.click.aliexpress.com/e/_oohii47,,,,,,
1005007541920758,https://ae-pic-a1.aliexpress-media.com/kf/S702dbe672cd5478faae55cd6ddf3bebd4.jpg,,1pc Foldable Women's Travel Convenient Carry-on Clothing Bag Large PU Leather Duffel Bag Women's Business Travel Bag,ILS 198.49,ILS 80.66,59%,ILS,7,ILS 5.65,7,ILS 5.65,2854,91.2%,https://s.click.aliexpress.com/e/_oBA0abD,,,,,,
1005007912548961,https://ae-pic-a1.aliexpress-media.com/kf/S1170ea5f3abe4928a0b779cf9708a180o.jpg,,40kg/100g Portable Luggage Scale High Precision Travel Digital Hanging Scales With Webbing belt LCD Digital Electronic Luggage,ILS 28.33,ILS 11.45,59%,ILS,7,ILS 0.80,7,ILS 0.80,8635,90.9%,https://s.click.aliexpress.com/e/_oE62l5h,,,,,,
1005005906532338,https://ae-pic-a1.aliexpress-media.com/kf/Scaa972acb3434224a89edd8a5eb019485.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2676675158/p/1/e/6/t/10301/1100170709808.mp4,tripod/nivel a laser 16 Lines Laser profesional Level green line Self-leveling 360 autonivelant,ILS 254.73,ILS 117.18,54%,ILS,7,ILS 8.20,7,ILS 8.20,2396,88.0%,https://s.click.aliexpress.com/e/_oC6PcHz,,,,,,
1005007109326083,https://ae-pic-a1.aliexpress-media.com/kf/S5ab83baa6b594784a2dff615a9e7bec0W.jpg,,DEWALT Tool Accessories Combination Series Cross Slotted PH2 89MM 57MM 50MM Silver/Yellow Ring Sleeve Extension Rod,ILS 23.45,ILS 8.67,63%,ILS,7,ILS 0.61,7,ILS 0.61,12646,93.5%,https://s.click.aliexpress.com/e/_onQjsIn,,,,,,
1005008288106489,https://ae-pic-a1.aliexpress-media.com/kf/S2300359019f141109470c6dc8ddc578aG.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/6001204974/p/1/e/6/t/10301/4000248430902.mp4,DEWALT DCF850 Impact Driver Electric Driver 20V Lithium Battery Brushless battery screwdrivers High Torque tools,ILS 305.96,ILS 143.80,53%,ILS,7,ILS 10.07,7,ILS 10.07,4335,91.0%,https://s.click.aliexpress.com/e/_op0VYAn,,,,,,
1005007568333996,https://ae-pic-a1.aliexpress-media.com/kf/Sbe606e631ccf4658a90ae92ac9c8b509k.jpg,,HOBIBEAR Hiking Walking Shoes for Men Women Elastic Band Non Slip Sneakers Comfortable Outdoor Travel Running Shoes,ILS 266.75,ILS 117.37,56%,ILS,7,ILS 8.22,7,ILS 8.22,2448,94.5%,https://s.click.aliexpress.com/e/_oC3fZwb,,,,,,
1005006801982174,https://ae-pic-a1.aliexpress-media.com/kf/S4f081271d3864a80ac1e9b32f2390f64R.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/239160064/p/1/e/6/t/10301/1100226767769.mp4,"Makeup Organizer Female Toiletry Kit Bag Make Up Case Storage Pouch Luxury Lady Box, Cosmetic Bag, Organizer Bag For Travel Zip",ILS 20.44,ILS 10.01,51%,ILS,7,ILS 0.70,7,ILS 0.70,73601,91.0%,https://s.click.aliexpress.com/e/_opiCiOP,,,,,,
1005006515623983,https://ae-pic-a1.aliexpress-media.com/kf/S182f8beebdbb42928e806aaf28ab206am.jpg,,Laser Level Line Tool Multipurpose Laser Level Kit Standard Cross Line Lase 8 Feet Measure Tape Ruler With Metal Tripod Stand,ILS 56.81,ILS 28.41,49%,ILS,7,ILS 1.99,7,ILS 1.99,4570,88.6%,https://s.click.aliexpress.com/e/_opikQX1,,,,,,
1005005967347164,https://ae-pic-a1.aliexpress-media.com/kf/Sb53e7f8473d143a781221c5f52363d3aR.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2667288184/p/1/e/6/t/10301/1100184717292.mp4,Milanese Strap for Apple Watch 44mm 40mm 45mm 41mm 46mm 42mm 38 49mm Metal Bracelet iWatch Series 10 Ultra 9 8 7 6 5 4 3 SE band,ILS 13.19,ILS 13.19,0%,ILS,10.5,ILS 1.38,7,ILS 0.92,5315,92.6%,https://s.click.aliexpress.com/e/_ooSFy7D,,,,,,
